Gender	Champion	Date
M	Aatrox	2013-06-13
F	Ahri	2011-12-14
F	Akali	2010-05-11
M	Akshan	2021-07-22
M	Alistar	2009-02-21
F	Ambessa	2024-11-06
M	Amumu	2009-06-26
F	Anivia	2009-07-10
F	Annie	2009-02-21
M	Aphelios	2019-12-11
F	Ashe	2009-02-21
M	Aurelion Sol	2016-03-24
F	Aurora	2024-07-17
M	Azir	2014-09-16
M	Bard	2015-03-12
F	Bel'Veth	2022-06-09
M	Blitzcrank	2009-09-02
M	Brand	2011-04-12
M	Braum	2014-05-12
F	Briar	2023-09-14
F	Caitlyn	2011-01-04
F	Camille	2016-12-07
F	Cassiopeia	2010-12-14
M	Cho'Gath	2009-06-26
M	Corki	2009-09-19
M	Darius	2012-05-23
F	Diana	2012-08-07
M	Dr. Mundo	2009-09-02
M	Draven	2012-06-06
M	Ekko	2015-05-29
F	Elise	2012-10-26
F	Evelynn	2009-05-01
M	Ezreal	2010-03-16
M	Fiddlesticks	2009-02-21
F	Fiora	2012-02-29
M	Fizz	2011-11-15
M	Galio	2010-08-10
M	Gangplank	2009-08-19
M	Garen	2010-04-27
M	Gnar	2014-08-14
M	Gragas	2010-02-02
M	Graves	2011-10-19
F	Gwen	2021-04-15
M	Hecarim	2012-04-18
M	Heimerdinger	2009-10-10
M	Hwei	2023-12-05
F	Illaoi	2015-11-24
F	Irelia	2010-11-16
M	Ivern	2016-10-05
F	Janna	2009-09-02
M	Jarvan IV	2011-03-01
M	Jax	2009-02-21
M	Jayce	2012-07-07
M	Jhin	2016-02-01
F	Jinx	2013-10-10
M	K'Sante	2022-11-02
F	Kai'Sa	2018-03-07
F	Kalista	2014-11-20
F	Karma	2011-02-01
M	Karthus	2009-06-12
M	Kassadin	2009-08-07
F	Katarina	2009-09-19
F	Kayle	2009-02-21
M	Kayn	2017-07-12
M	Kennen	2010-04-08
M	Kha'Zix	2012-09-27
F	Kindred	2015-10-14
M	Kled	2016-08-10
M	Kog'Maw	2010-06-24
F	LeBlanc	2010-11-02
M	Lee Sin	2011-04-01
F	Leona	2011-07-13
F	Lillia	2020-07-22
F	Lissandra	2013-04-30
M	Lucian	2013-08-22
F	Lulu	2012-03-20
F	Lux	2010-10-19
M	Malphite	2009-09-02
M	Malzahar	2010-06-01
M	Maokai	2011-02-16
M	Master Yi	2009-02-21
F	Mel	2025-01-23
M	Milio	2023-03-23
F	Miss Fortune	2010-09-08
M	Mordekaiser	2010-02-24
F	Morgana	2009-02-21
F	Naafiri	2023-07-19
F	Nami	2012-12-07
M	Nasus	2009-10-01
M	Nautilus	2012-02-14
F	Neeko	2018-12-05
F	Nidalee	2009-12-17
F	Nilah	2022-07-13
M	Nocturne	2011-03-15
M	Nunu & Willump	2009-02-21
M	Olaf	2010-06-09
F	Orianna	2011-06-01
M	Ornn	2017-08-23
M	Pantheon	2010-02-02
F	Poppy	2010-01-13
M	Pyke	2018-05-31
F	Qiyana	2019-06-28
F	Quinn	2013-03-01
M	Rakan	2017-04-19
M	Rammus	2009-07-10
F	Rek'Sai	2014-12-11
F	Rell	2020-12-10
F	Renata Glasc	2022-02-17
M	Renekton	2011-01-18
M	Rengar	2012-08-21
F	Riven	2011-09-14
M	Rumble	2011-04-26
M	Ryze	2009-02-21
F	Samira	2020-09-21
F	Sejuani	2012-01-17
F	Senna	2019-11-10
F	Seraphine	2020-10-29
M	Sett	2020-01-14
M	Shaco	2009-10-10
M	Shen	2010-03-24
F	Shyvana	2011-11-01
M	Singed	2009-04-18
M	Sion	2009-02-21
F	Sivir	2009-02-21
M	Skarner	2011-08-09
M	Smolder	2024-01-31
F	Sona	2010-09-21
F	Soraka	2009-02-21
M	Swain	2010-10-05
M	Sylas	2019-01-25
F	Syndra	2012-09-13
M	Tahm Kench	2015-07-09
F	Taliyah	2016-05-18
M	Talon	2011-08-24
M	Taric	2009-08-19
M	Teemo	2009-02-21
M	Thresh	2013-01-23
F	Tristana	2009-02-21
M	Trundle	2010-12-01
M	Tryndamere	2009-05-01
M	Twisted Fate	2009-02-21
M	Twitch	2009-05-01
M	Udyr	2009-12-02
M	Urgot	2010-08-24
M	Varus	2012-05-08
F	Vayne	2011-05-10
M	Veigar	2009-07-24
M	Vel'Koz	2014-02-27
F	Vex	2021-09-23
F	Vi	2012-12-19
M	Viego	2021-01-21
M	Viktor	2011-12-29
M	Vladimir	2010-07-27
M	Volibear	2011-11-29
M	Warwick	2009-02-21
M	Wukong	2011-07-26
F	Xayah	2017-04-19
M	Xerath	2011-10-05
M	Xin Zhao	2010-07-13
M	Yasuo	2013-12-13
M	Yone	2020-08-06
M	Yorick	2011-06-22
F	Yuumi	2019-05-14
M	Zac	2013-03-29
M	Zed	2012-11-13
F	Zeri	2022-01-20
M	Ziggs	2012-02-01
M	Zilean	2009-04-18
F	Zoe	2017-11-21
F	Zyra	2012-07-24
